K,epsilon,zero_power_mse,zero_power_feasible,classification
4,0.04,0.25,False,NON-DEGENERATE
4,0.06,0.25,False,NON-DEGENERATE
4,0.08,0.25,False,NON-DEGENERATE
4,0.1,0.25,False,NON-DEGENERATE
4,0.12,0.25,False,NON-DEGENERATE
6,0.04,0.16666666666666666,False,NON-DEGENERATE
6,0.06,0.16666666666666666,False,NON-DEGENERATE
6,0.08,0.16666666666666666,False,NON-DEGENERATE
6,0.1,0.16666666666666666,False,NON-DEGENERATE
6,0.12,0.16666666666666666,False,NON-DEGENERATE
8,0.04,0.125,False,NON-DEGENERATE
8,0.06,0.125,False,NON-DEGENERATE
8,0.08,0.125,False,NON-DEGENERATE
8,0.1,0.125,False,NON-DEGENERATE
8,0.12,0.125,False,NON-DEGENERATE
10,0.04,0.1,False,NON-DEGENERATE
10,0.06,0.1,False,NON-DEGENERATE
10,0.08,0.1,False,NON-DEGENERATE
10,0.1,0.1,True,DEGENERATE
10,0.12,0.1,True,DEGENERATE
12,0.04,0.08333333333333333,False,NON-DEGENERATE
12,0.06,0.08333333333333333,False,NON-DEGENERATE
12,0.08,0.08333333333333333,False,NON-DEGENERATE
12,0.1,0.08333333333333333,True,DEGENERATE
12,0.12,0.08333333333333333,True,DEGENERATE
16,0.04,0.0625,False,NON-DEGENERATE
16,0.06,0.0625,False,NON-DEGENERATE
16,0.08,0.0625,True,DEGENERATE
16,0.1,0.0625,True,DEGENERATE
16,0.12,0.0625,True,DEGENERATE
20,0.04,0.05,False,NON-DEGENERATE
20,0.06,0.05,True,DEGENERATE
20,0.08,0.05,True,DEGENERATE
20,0.1,0.05,True,DEGENERATE
20,0.12,0.05,True,DEGENERATE
